WAVENUMBER         COMPLEX_FREQUENCY   RESIDUAL_OUTPUT_D(w, k)              PDF_ARGUMENT
3.165e-06       2.106e+01+1.762e-05j      5.751e-08-9.515e-11j     -3.699e+00+2.544e-06j
3.309e-06       2.107e+01+5.466e-05j      1.781e-08-3.800e-10j     -3.537e+00+7.550e-06j
3.453e-06       2.109e+01+1.471e-04j      1.537e-08-2.689e-12j     -3.387e+00+1.947e-05j
3.597e-06       2.111e+01+3.514e-04j     -5.797e-08-4.098e-09j     -3.249e+00+4.465e-05j
3.741e-06       2.113e+01+7.583e-04j      1.909e-08-2.152e-11j     -3.122e+00+9.265e-05j
3.885e-06       2.115e+01+1.501e-03j      4.284e-08-7.819e-11j     -3.004e+00+1.766e-04j
4.028e-06       2.117e+01+2.758e-03j     -9.080e-09-1.360e-11j     -2.895e+00+3.128e-04j
4.172e-06       2.119e+01+4.752e-03j      2.375e-08-1.036e-10j     -2.792e+00+5.205e-04j
4.316e-06       2.121e+01+7.743e-03j     -7.451e-09+1.455e-10j     -2.696e+00+8.198e-04j
4.460e-06       2.124e+01+1.202e-02j      5.844e-08-8.349e-12j     -2.607e+00+1.231e-03j
4.604e-06       2.127e+01+1.786e-02j      2.049e-08-3.278e-10j     -2.523e+00+1.773e-03j
4.748e-06       2.130e+01+2.557e-02j     -5.006e-08-2.502e-12j     -2.443e+00+2.461e-03j
4.892e-06       2.133e+01+3.538e-02j      5.448e-08-4.325e-10j     -2.369e+00+3.306e-03j
5.036e-06       2.136e+01+4.751e-02j      5.960e-08+1.122e-09j     -2.298e+00+4.312e-03j
5.179e-06       2.139e+01+6.211e-02j     -1.360e-07-2.180e-09j     -2.231e+00+5.480e-03j
5.323e-06       2.142e+01+7.924e-02j     -1.537e-08+2.275e-09j     -2.168e+00+6.803e-03j
5.467e-06       2.146e+01+9.893e-02j      3.492e-08-5.972e-10j     -2.109e+00+8.270e-03j
5.611e-06       2.149e+01+1.211e-01j      4.191e-09-7.100e-11j     -2.052e+00+9.865e-03j
5.755e-06       2.152e+01+1.457e-01j     -5.122e-08+1.598e-09j     -1.998e+00+1.157e-02j
5.899e-06       2.155e+01+1.725e-01j     -1.164e-08+1.654e-09j     -1.947e+00+1.336e-02j
6.043e-06       2.158e+01+2.012e-01j     -3.679e-08+3.285e-10j     -1.899e+00+1.522e-02j
6.187e-06       2.160e+01+2.318e-01j     -2.887e-08-9.986e-10j     -1.852e+00+1.712e-02j
6.330e-06       2.163e+01+2.639e-01j      2.328e-08-1.249e-09j     -1.809e+00+1.905e-02j
6.474e-06       2.165e+01+2.972e-01j     -6.612e-08-4.902e-10j     -1.767e+00+2.098e-02j
6.618e-06       2.168e+01+3.316e-01j      1.397e-09-7.757e-09j     -1.727e+00+2.290e-02j
6.762e-06       2.170e+01+3.668e-01j     -1.863e-09+2.121e-10j     -1.689e+00+2.479e-02j
6.906e-06       2.171e+01+4.026e-01j      8.382e-09-1.156e-10j     -1.652e+00+2.665e-02j
7.050e-06       2.173e+01+4.388e-01j      6.706e-08+7.493e-10j     -1.618e+00+2.845e-02j
7.194e-06       2.174e+01+4.752e-01j     -1.956e-08+3.956e-09j     -1.584e+00+3.019e-02j
7.338e-06       2.176e+01+5.116e-01j     -4.657e-09+1.228e-09j     -1.552e+00+3.187e-02j
7.481e-06       2.177e+01+5.480e-01j     -7.451e-09+6.487e-09j     -1.522e+00+3.347e-02j
7.625e-06       2.178e+01+5.841e-01j      4.750e-08-2.593e-10j     -1.493e+00+3.501e-02j
7.769e-06       2.179e+01+6.199e-01j     -5.029e-08-1.895e-09j     -1.464e+00+3.646e-02j
7.913e-06       2.179e+01+6.553e-01j      5.774e-08+5.549e-09j     -1.437e+00+3.785e-02j
8.057e-06       2.180e+01+6.902e-01j     -8.382e-08-1.048e-09j     -1.411e+00+3.915e-02j
8.201e-06       2.180e+01+7.245e-01j      8.009e-08-6.340e-09j     -1.386e+00+4.037e-02j
8.345e-06       2.181e+01+7.582e-01j      9.593e-08+3.851e-09j     -1.362e+00+4.153e-02j
8.489e-06       2.181e+01+7.913e-01j     -8.382e-09-1.059e-08j     -1.339e+00+4.260e-02j
8.632e-06       2.181e+01+8.237e-01j     -5.029e-08-4.379e-08j     -1.317e+00+4.361e-02j
8.776e-06       2.181e+01+8.553e-01j     -3.166e-08-8.033e-09j     -1.295e+00+4.454e-02j
8.920e-06       2.181e+01+8.862e-01j      2.980e-08+5.481e-09j     -1.274e+00+4.541e-02j
9.064e-06       2.181e+01+9.164e-01j     -1.863e-08-5.881e-09j     -1.254e+00+4.621e-02j
9.208e-06       2.181e+01+9.458e-01j     -3.912e-08-2.569e-08j     -1.234e+00+4.694e-02j
9.352e-06       2.181e+01+9.744e-01j      4.191e-08-1.679e-08j     -1.215e+00+4.762e-02j
9.496e-06       2.181e+01+1.002e+00j      9.313e-10+2.963e-09j     -1.197e+00+4.824e-02j
9.640e-06       2.180e+01+1.029e+00j      1.099e-07+4.516e-08j     -1.179e+00+4.880e-02j
9.783e-06       2.180e+01+1.056e+00j     -9.686e-08-1.349e-08j     -1.162e+00+4.931e-02j
9.927e-06       2.180e+01+1.081e+00j      2.608e-08+2.402e-08j     -1.146e+00+4.978e-02j
1.007e-05       2.179e+01+1.106e+00j      6.519e-08+1.235e-08j     -1.129e+00+5.019e-02j
1.022e-05       2.179e+01+1.130e+00j     -1.024e-07-8.346e-09j     -1.114e+00+5.056e-02j
1.036e-05       2.178e+01+1.153e+00j      9.313e-08+2.839e-08j     -1.098e+00+5.088e-02j
1.050e-05       2.178e+01+1.176e+00j      1.006e-07-1.012e-08j     -1.084e+00+5.116e-02j
1.065e-05       2.178e+01+1.198e+00j      4.284e-08+2.917e-08j     -1.069e+00+5.141e-02j
1.079e-05       2.177e+01+1.219e+00j     -4.470e-08-2.153e-08j     -1.055e+00+5.161e-02j
1.093e-05       2.177e+01+1.239e+00j     -6.519e-08-1.180e-08j     -1.041e+00+5.179e-02j
1.108e-05       2.176e+01+1.259e+00j     -5.588e-08-2.321e-10j     -1.028e+00+5.192e-02j
1.122e-05       2.176e+01+1.278e+00j     -3.725e-08+9.523e-09j     -1.015e+00+5.203e-02j
1.137e-05       2.175e+01+1.296e+00j      2.794e-08-7.340e-09j     -1.002e+00+5.211e-02j
1.151e-05       2.175e+01+1.314e+00j     -5.215e-08-6.676e-09j     -9.901e-01+5.216e-02j
1.165e-05       2.174e+01+1.331e+00j     -3.166e-08+1.200e-08j     -9.781e-01+5.218e-02j
1.180e-05       2.174e+01+1.347e+00j      1.863e-09+1.529e-08j     -9.663e-01+5.218e-02j
1.194e-05       2.173e+01+1.363e+00j     -6.147e-08-2.308e-09j     -9.549e-01+5.215e-02j
1.209e-05       2.173e+01+1.378e+00j     -4.098e-08+1.270e-09j     -9.437e-01+5.210e-02j
1.223e-05       2.172e+01+1.392e+00j      3.539e-08+1.769e-10j     -9.328e-01+5.203e-02j
1.237e-05       2.172e+01+1.406e+00j     -7.451e-09+5.763e-09j     -9.221e-01+5.194e-02j
1.252e-05       2.171e+01+1.420e+00j      4.284e-08+8.460e-09j     -9.116e-01+5.183e-02j
1.266e-05       2.171e+01+1.432e+00j      1.490e-08+5.110e-09j     -9.014e-01+5.171e-02j
1.280e-05       2.170e+01+1.445e+00j     -1.118e-08+7.367e-09j     -8.915e-01+5.156e-02j
1.295e-05       2.170e+01+1.456e+00j     -3.725e-09+2.125e-09j     -8.817e-01+5.140e-02j
1.309e-05       2.170e+01+1.468e+00j     -3.725e-09+2.401e-08j     -8.721e-01+5.123e-02j
1.324e-05       2.169e+01+1.478e+00j     -5.774e-08-1.492e-08j     -8.628e-01+5.104e-02j
1.338e-05       2.169e+01+1.488e+00j     -1.490e-08-5.886e-09j     -8.536e-01+5.084e-02j
1.352e-05       2.169e+01+1.498e+00j     -1.490e-08-3.100e-09j     -8.446e-01+5.062e-02j
1.367e-05       2.168e+01+1.507e+00j     -5.215e-08-1.236e-08j     -8.359e-01+5.039e-02j
1.381e-05       2.168e+01+1.516e+00j      1.863e-08+1.384e-08j     -8.272e-01+5.016e-02j
1.396e-05       2.168e+01+1.524e+00j     -2.980e-08-1.760e-09j     -8.188e-01+4.991e-02j
1.410e-05       2.168e+01+1.532e+00j     -3.725e-09-3.240e-10j     -8.105e-01+4.965e-02j
1.424e-05       2.167e+01+1.539e+00j     -2.980e-08-7.877e-09j     -8.024e-01+4.939e-02j
1.439e-05       2.167e+01+1.546e+00j     -1.863e-08+4.936e-09j     -7.944e-01+4.911e-02j
1.453e-05       2.167e+01+1.552e+00j     -6.706e-08+1.871e-08j     -7.866e-01+4.883e-02j
1.468e-05       2.167e+01+1.559e+00j     -2.608e-08-2.380e-09j     -7.789e-01+4.854e-02j
1.482e-05       2.167e+01+1.564e+00j      2.980e-08+7.793e-11j     -7.714e-01+4.824e-02j
1.496e-05       2.167e+01+1.569e+00j      7.451e-09+3.232e-08j     -7.640e-01+4.793e-02j
1.511e-05       2.167e+01+1.574e+00j      4.098e-08+5.290e-09j     -7.567e-01+4.762e-02j
1.525e-05       2.167e+01+1.579e+00j      4.470e-08+1.989e-08j     -7.496e-01+4.731e-02j
1.539e-05       2.167e+01+1.583e+00j     -8.568e-08-3.047e-08j     -7.426e-01+4.699e-02j
1.554e-05       2.167e+01+1.586e+00j      3.725e-08-2.295e-09j     -7.357e-01+4.666e-02j
1.568e-05       2.167e+01+1.590e+00j      6.706e-08+9.569e-09j     -7.289e-01+4.633e-02j
1.583e-05       2.167e+01+1.593e+00j      0.000e+00+1.824e-09j     -7.223e-01+4.600e-02j
1.597e-05       2.167e+01+1.595e+00j      1.863e-08+4.615e-09j     -7.157e-01+4.566e-02j
1.611e-05       2.167e+01+1.598e+00j      7.451e-09+4.608e-10j     -7.093e-01+4.532e-02j
1.626e-05       2.167e+01+1.600e+00j     -7.451e-09-4.355e-10j     -7.030e-01+4.497e-02j
1.640e-05       2.168e+01+1.601e+00j      1.490e-08+9.356e-09j     -6.967e-01+4.462e-02j
1.655e-05       2.168e+01+1.603e+00j      2.980e-08+6.946e-09j     -6.906e-01+4.427e-02j
1.669e-05       2.168e+01+1.604e+00j     -5.215e-08-4.985e-09j     -6.846e-01+4.392e-02j
1.683e-05       2.169e+01+1.605e+00j      5.215e-08-6.027e-08j     -6.786e-01+4.356e-02j
1.698e-05       2.169e+01+1.605e+00j      8.568e-08+3.180e-10j     -6.728e-01+4.321e-02j
1.712e-05       2.169e+01+1.605e+00j      1.453e-07+5.801e-09j     -6.670e-01+4.285e-02j
1.726e-05       2.170e+01+1.605e+00j     -1.863e-08+2.317e-08j     -6.614e-01+4.249e-02j
1.741e-05       2.170e+01+1.605e+00j     -4.098e-08-1.032e-08j     -6.558e-01+4.213e-02j
1.755e-05       2.171e+01+1.604e+00j     -1.006e-07-1.761e-08j     -6.503e-01+4.176e-02j
1.770e-05       2.171e+01+1.603e+00j      0.000e+00+1.031e-08j     -6.449e-01+4.140e-02j
1.784e-05       2.172e+01+1.602e+00j      1.118e-08+7.523e-09j     -6.395e-01+4.104e-02j
1.798e-05       2.172e+01+1.601e+00j     -5.215e-08+2.923e-09j     -6.343e-01+4.067e-02j
1.813e-05       2.173e+01+1.599e+00j     -8.196e-08+1.450e-08j     -6.291e-01+4.031e-02j
1.827e-05       2.173e+01+1.597e+00j     -5.215e-08-1.067e-08j     -6.240e-01+3.994e-02j
1.842e-05       2.174e+01+1.595e+00j     -3.353e-08-3.231e-10j     -6.189e-01+3.958e-02j
1.856e-05       2.175e+01+1.592e+00j     -8.568e-08+1.043e-08j     -6.140e-01+3.921e-02j
1.870e-05       2.176e+01+1.590e+00j     -2.608e-08+1.671e-08j     -6.091e-01+3.885e-02j
1.885e-05       2.176e+01+1.587e+00j      2.235e-08+3.136e-08j     -6.042e-01+3.848e-02j
1.899e-05       2.177e+01+1.584e+00j     -7.451e-09-1.230e-08j     -5.995e-01+3.812e-02j
1.914e-05       2.178e+01+1.581e+00j     -1.490e-08-5.414e-09j     -5.947e-01+3.775e-02j
1.928e-05       2.179e+01+1.577e+00j      3.725e-09+8.743e-09j     -5.901e-01+3.739e-02j
1.942e-05       2.180e+01+1.574e+00j     -1.490e-08-4.096e-08j     -5.855e-01+3.703e-02j
1.957e-05       2.181e+01+1.570e+00j      2.235e-08+4.185e-09j     -5.810e-01+3.667e-02j
1.971e-05       2.182e+01+1.566e+00j     -1.490e-08-5.048e-09j     -5.765e-01+3.630e-02j
1.985e-05       2.183e+01+1.562e+00j      2.235e-08+1.820e-08j     -5.721e-01+3.594e-02j
2.000e-05       2.184e+01+1.557e+00j     -2.980e-08-9.652e-09j     -5.678e-01+3.559e-02j
2.014e-05       2.185e+01+1.553e+00j      7.451e-09+5.210e-09j     -5.635e-01+3.523e-02j
2.029e-05       2.186e+01+1.548e+00j     -2.235e-08-4.193e-09j     -5.593e-01+3.487e-02j
2.043e-05       2.187e+01+1.543e+00j      3.725e-08+1.038e-08j     -5.551e-01+3.452e-02j
2.057e-05       2.188e+01+1.538e+00j      7.451e-09+2.503e-09j     -5.509e-01+3.416e-02j
2.072e-05       2.189e+01+1.533e+00j      0.000e+00+4.866e-09j     -5.469e-01+3.381e-02j
2.086e-05       2.190e+01+1.527e+00j      4.470e-08+2.780e-08j     -5.428e-01+3.346e-02j
2.101e-05       2.191e+01+1.522e+00j      7.451e-09+1.029e-08j     -5.388e-01+3.311e-02j
2.115e-05       2.193e+01+1.516e+00j      2.235e-08+8.870e-09j     -5.349e-01+3.276e-02j
2.129e-05       2.194e+01+1.510e+00j     -7.451e-09+5.530e-09j     -5.310e-01+3.242e-02j
2.144e-05       2.195e+01+1.504e+00j     -1.490e-08+2.274e-09j     -5.272e-01+3.207e-02j
2.158e-05       2.197e+01+1.498e+00j     -3.725e-08+3.118e-09j     -5.234e-01+3.173e-02j
2.172e-05       2.198e+01+1.492e+00j     -4.470e-08-3.064e-09j     -5.196e-01+3.139e-02j
2.187e-05       2.199e+01+1.486e+00j     -2.980e-08-4.946e-09j     -5.159e-01+3.105e-02j
2.201e-05       2.201e+01+1.479e+00j      7.451e-09-1.192e-08j     -5.122e-01+3.071e-02j
2.216e-05       2.202e+01+1.473e+00j      1.490e-08+1.223e-08j     -5.086e-01+3.038e-02j
2.230e-05       2.204e+01+1.466e+00j     -1.490e-08-1.102e-08j     -5.050e-01+3.004e-02j
2.244e-05       2.205e+01+1.459e+00j      5.960e-08+1.374e-09j     -5.015e-01+2.971e-02j
2.259e-05       2.207e+01+1.452e+00j     -4.470e-08+1.051e-08j     -4.980e-01+2.938e-02j
2.273e-05       2.209e+01+1.445e+00j     -2.235e-08+1.160e-09j     -4.945e-01+2.906e-02j
2.288e-05       2.210e+01+1.438e+00j     -2.235e-08-2.455e-09j     -4.911e-01+2.873e-02j
2.302e-05       2.212e+01+1.431e+00j     -3.725e-08-7.541e-09j     -4.877e-01+2.841e-02j
2.316e-05       2.213e+01+1.424e+00j      7.451e-09+2.379e-08j     -4.843e-01+2.809e-02j
2.331e-05       2.215e+01+1.416e+00j     -6.706e-08+1.687e-08j     -4.810e-01+2.777e-02j
2.345e-05       2.217e+01+1.409e+00j      1.490e-08+1.682e-08j     -4.777e-01+2.745e-02j
2.360e-05       2.219e+01+1.401e+00j      4.470e-08-5.880e-09j     -4.745e-01+2.714e-02j
2.374e-05       2.220e+01+1.393e+00j      1.490e-08+1.951e-08j     -4.712e-01+2.683e-02j
2.388e-05       2.222e+01+1.386e+00j     -1.490e-08+6.095e-09j     -4.681e-01+2.652e-02j
2.403e-05       2.224e+01+1.378e+00j     -8.196e-08+2.896e-09j     -4.649e-01+2.621e-02j
2.417e-05       2.226e+01+1.370e+00j      5.215e-08+2.407e-08j     -4.618e-01+2.590e-02j
2.431e-05       2.228e+01+1.362e+00j      5.215e-08+9.992e-09j     -4.587e-01+2.560e-02j
2.446e-05       2.230e+01+1.354e+00j      5.960e-08+1.212e-08j     -4.556e-01+2.530e-02j
2.460e-05       2.232e+01+1.346e+00j      5.960e-08+1.591e-08j     -4.526e-01+2.500e-02j
2.475e-05       2.234e+01+1.338e+00j     -2.235e-08+1.107e-08j     -4.496e-01+2.470e-02j
2.489e-05       2.235e+01+1.329e+00j      8.196e-08-2.035e-08j     -4.467e-01+2.441e-02j
2.503e-05       2.238e+01+1.321e+00j      2.980e-08+1.211e-08j     -4.437e-01+2.412e-02j
2.518e-05       2.240e+01+1.313e+00j     -8.941e-08+4.173e-09j     -4.408e-01+2.383e-02j
2.532e-05       2.242e+01+1.304e+00j      7.451e-08+6.188e-09j     -4.379e-01+2.354e-02j
2.547e-05       2.244e+01+1.296e+00j     -2.235e-08+1.683e-08j     -4.351e-01+2.325e-02j
2.561e-05       2.246e+01+1.287e+00j     -7.451e-09-2.867e-08j     -4.323e-01+2.297e-02j
2.575e-05       2.248e+01+1.279e+00j     -3.725e-08-4.011e-08j     -4.295e-01+2.269e-02j
2.590e-05       2.250e+01+1.270e+00j      1.267e-07-1.463e-08j     -4.267e-01+2.241e-02j
2.604e-05       2.252e+01+1.261e+00j      4.470e-08-1.288e-08j     -4.240e-01+2.214e-02j
2.618e-05       2.254e+01+1.253e+00j      5.960e-08+3.440e-08j     -4.213e-01+2.186e-02j
2.633e-05       2.257e+01+1.244e+00j      0.000e+00+1.209e-08j     -4.186e-01+2.159e-02j
2.647e-05       2.259e+01+1.235e+00j     -7.451e-09-9.123e-09j     -4.159e-01+2.132e-02j
2.662e-05       2.261e+01+1.226e+00j     -9.686e-08+1.420e-08j     -4.133e-01+2.106e-02j
2.676e-05       2.264e+01+1.218e+00j     -3.725e-08-2.331e-08j     -4.107e-01+2.079e-02j
2.690e-05       2.266e+01+1.209e+00j     -7.451e-09-5.608e-09j     -4.081e-01+2.053e-02j
2.705e-05       2.268e+01+1.200e+00j      2.235e-08-1.248e-08j     -4.055e-01+2.027e-02j
2.719e-05       2.271e+01+1.191e+00j      0.000e+00-5.301e-10j     -4.030e-01+2.002e-02j
2.734e-05       2.273e+01+1.182e+00j      4.470e-08+1.506e-08j     -4.004e-01+1.976e-02j
2.748e-05       2.275e+01+1.173e+00j      1.490e-08+3.443e-09j     -3.979e-01+1.951e-02j
2.762e-05       2.278e+01+1.164e+00j     -1.490e-08-1.112e-08j     -3.955e-01+1.926e-02j
2.777e-05       2.280e+01+1.155e+00j      5.960e-08-6.318e-09j     -3.930e-01+1.901e-02j
2.791e-05       2.283e+01+1.146e+00j     -1.490e-08+9.189e-09j     -3.906e-01+1.877e-02j
2.806e-05       2.285e+01+1.137e+00j      0.000e+00-4.292e-09j     -3.882e-01+1.853e-02j
2.820e-05       2.288e+01+1.128e+00j      1.490e-08+4.775e-09j     -3.858e-01+1.828e-02j
2.834e-05       2.290e+01+1.119e+00j      1.490e-08+2.835e-09j     -3.834e-01+1.805e-02j
2.849e-05       2.293e+01+1.110e+00j     -2.980e-08-1.180e-08j     -3.811e-01+1.781e-02j
2.863e-05       2.295e+01+1.101e+00j     -2.980e-08-1.614e-08j     -3.788e-01+1.758e-02j
2.877e-05       2.298e+01+1.092e+00j     -7.451e-08+1.664e-09j     -3.764e-01+1.735e-02j
2.892e-05       2.301e+01+1.083e+00j     -4.470e-08-9.791e-09j     -3.742e-01+1.712e-02j
2.906e-05       2.303e+01+1.074e+00j     -5.960e-08+5.629e-09j     -3.719e-01+1.689e-02j
2.921e-05       2.306e+01+1.065e+00j      4.470e-08-4.300e-09j     -3.696e-01+1.667e-02j
2.935e-05       2.308e+01+1.056e+00j      0.000e+00+5.748e-09j     -3.674e-01+1.644e-02j
2.949e-05       2.311e+01+1.047e+00j     -1.490e-08-1.129e-08j     -3.652e-01+1.622e-02j
2.964e-05       2.314e+01+1.038e+00j      0.000e+00+2.668e-09j     -3.630e-01+1.601e-02j
2.978e-05       2.317e+01+1.029e+00j     -2.980e-08+1.457e-09j     -3.609e-01+1.579e-02j
2.993e-05       2.319e+01+1.020e+00j      2.980e-08+4.412e-09j     -3.587e-01+1.558e-02j
3.007e-05       2.322e+01+1.011e+00j     -2.980e-08-3.452e-10j     -3.566e-01+1.537e-02j
3.021e-05       2.325e+01+1.002e+00j      2.980e-08-1.395e-08j     -3.544e-01+1.516e-02j
3.036e-05       2.328e+01+9.931e-01j      1.490e-08-7.197e-09j     -3.523e-01+1.495e-02j
3.050e-05       2.330e+01+9.841e-01j      4.470e-08+7.570e-09j     -3.503e-01+1.475e-02j
3.065e-05       2.333e+01+9.752e-01j      2.980e-08+1.547e-09j     -3.482e-01+1.454e-02j
3.079e-05       2.336e+01+9.663e-01j      2.980e-08+4.500e-09j     -3.462e-01+1.434e-02j
3.093e-05       2.339e+01+9.574e-01j     -8.941e-08+2.172e-08j     -3.441e-01+1.415e-02j
3.108e-05       2.342e+01+9.485e-01j      1.490e-08+1.101e-08j     -3.421e-01+1.395e-02j
3.122e-05       2.345e+01+9.397e-01j      0.000e+00-6.534e-09j     -3.401e-01+1.376e-02j
3.136e-05       2.348e+01+9.309e-01j     -1.043e-07-1.680e-08j     -3.381e-01+1.356e-02j
3.151e-05       2.351e+01+9.221e-01j      2.980e-08+4.192e-09j     -3.362e-01+1.337e-02j
3.165e-05       2.353e+01+9.133e-01j      4.470e-08+3.864e-10j     -3.342e-01+1.319e-02j
3.180e-05       2.356e+01+9.046e-01j     -2.980e-08-3.568e-09j     -3.323e-01+1.300e-02j
3.194e-05       2.359e+01+8.959e-01j     -2.980e-08-7.922e-09j     -3.304e-01+1.282e-02j
3.208e-05       2.362e+01+8.872e-01j      5.960e-08-7.504e-09j     -3.284e-01+1.264e-02j
3.223e-05       2.365e+01+8.786e-01j     -4.470e-08-1.026e-08j     -3.266e-01+1.246e-02j
3.237e-05       2.368e+01+8.700e-01j     -4.470e-08-1.164e-08j     -3.247e-01+1.228e-02j
3.252e-05       2.371e+01+8.614e-01j      4.470e-08+1.687e-09j     -3.228e-01+1.211e-02j
3.266e-05       2.374e+01+8.528e-01j      8.941e-08-8.615e-10j     -3.210e-01+1.193e-02j
3.280e-05       2.377e+01+8.443e-01j     -5.960e-08-3.882e-09j     -3.191e-01+1.176e-02j
3.295e-05       2.380e+01+8.358e-01j      1.490e-08-3.238e-09j     -3.173e-01+1.159e-02j
3.309e-05       2.383e+01+8.274e-01j     -4.470e-08-6.985e-09j     -3.155e-01+1.143e-02j
3.323e-05       2.387e+01+8.190e-01j      1.490e-08-1.654e-09j     -3.137e-01+1.126e-02j
3.338e-05       2.390e+01+8.106e-01j      4.470e-08-4.612e-10j     -3.120e-01+1.110e-02j
3.352e-05       2.393e+01+8.023e-01j      0.000e+00-2.830e-10j     -3.102e-01+1.094e-02j
3.367e-05       2.396e+01+7.940e-01j     -2.980e-08-1.426e-09j     -3.085e-01+1.078e-02j
3.381e-05       2.399e+01+7.857e-01j      7.451e-08+9.199e-09j     -3.067e-01+1.062e-02j
3.395e-05       2.402e+01+7.775e-01j      0.000e+00-9.627e-10j     -3.050e-01+1.047e-02j
3.410e-05       2.405e+01+7.694e-01j     -1.490e-08-1.122e-09j     -3.033e-01+1.031e-02j
3.424e-05       2.408e+01+7.612e-01j     -5.960e-08+5.238e-09j     -3.016e-01+1.016e-02j
3.439e-05       2.412e+01+7.532e-01j      4.470e-08-1.372e-09j     -2.999e-01+1.001e-02j
3.453e-05       2.415e+01+7.451e-01j      0.000e+00+1.678e-08j     -2.982e-01+9.862e-03j
3.467e-05       2.418e+01+7.371e-01j     -2.980e-08-7.092e-09j     -2.966e-01+9.716e-03j
3.482e-05       2.421e+01+7.292e-01j     -1.490e-08-8.536e-09j     -2.949e-01+9.571e-03j
3.496e-05       2.424e+01+7.213e-01j      1.490e-08-6.643e-09j     -2.933e-01+9.429e-03j
3.511e-05       2.428e+01+7.134e-01j     -1.490e-08-3.217e-09j     -2.917e-01+9.288e-03j
3.525e-05       2.431e+01+7.056e-01j     -5.960e-08+1.055e-08j     -2.901e-01+9.149e-03j
3.539e-05       2.434e+01+6.979e-01j      5.960e-08-1.013e-08j     -2.885e-01+9.011e-03j
3.554e-05       2.437e+01+6.901e-01j      2.980e-08+6.619e-09j     -2.869e-01+8.876e-03j
3.568e-05       2.440e+01+6.825e-01j      2.980e-08+1.066e-08j     -2.853e-01+8.742e-03j
3.582e-05       2.444e+01+6.749e-01j      5.960e-08+2.692e-09j     -2.838e-01+8.609e-03j
3.597e-05       2.447e+01+6.673e-01j      4.470e-08-7.038e-10j     -2.822e-01+8.479e-03j
3.611e-05       2.450e+01+6.598e-01j     -2.980e-08+2.182e-09j     -2.807e-01+8.350e-03j
3.626e-05       2.454e+01+6.523e-01j      2.980e-08+3.886e-09j     -2.792e-01+8.223e-03j
3.640e-05       2.457e+01+6.449e-01j      4.470e-08-7.165e-10j     -2.776e-01+8.097e-03j
3.654e-05       2.460e+01+6.375e-01j      2.980e-08+1.972e-09j     -2.761e-01+7.973e-03j
3.669e-05       2.463e+01+6.302e-01j     -5.960e-08-6.786e-09j     -2.746e-01+7.851e-03j
3.683e-05       2.467e+01+6.230e-01j     -1.490e-08-1.613e-09j     -2.732e-01+7.730e-03j
3.698e-05       2.470e+01+6.158e-01j     -4.470e-08-1.762e-09j     -2.717e-01+7.611e-03j
3.712e-05       2.473e+01+6.086e-01j      1.490e-08-7.543e-09j     -2.702e-01+7.493e-03j
3.726e-05       2.477e+01+6.015e-01j     -5.960e-08-5.125e-09j     -2.688e-01+7.377e-03j
